locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCDJCBPM_00619	gene	1020	srkA_1			
FCDJCBPM_00620	gene	822				
FCDJCBPM_00621	gene	498				
FCDJCBPM_00622	gene	363	arsC			
FCDJCBPM_00623	gene	351	flhD_2			
FCDJCBPM_00624	gene	582	flhC_2			
FCDJCBPM_00625	gene	900	motA_2			
FCDJCBPM_00626	gene	921	motB			
FCDJCBPM_00627	gene	2412				
FCDJCBPM_00628	gene	474	cheW			
FCDJCBPM_00629	gene	1689	tsr			
FCDJCBPM_00630	gene	1620	tap			
FCDJCBPM_00631	gene	858	cheR			
FCDJCBPM_00632	gene	1050	cheB			
FCDJCBPM_00633	gene	390	cheY			
FCDJCBPM_00634	gene	636	cheZ			
FCDJCBPM_00635	gene	1143	flhB_2			
FCDJCBPM_00636	gene	2085	flhA_2			
FCDJCBPM_00637	gene	465	flhE			
FCDJCBPM_00638	gene	441	flgN_2			
FCDJCBPM_00639	gene	297	flgM			
FCDJCBPM_00640	gene	936				
FCDJCBPM_00641	gene	414	flgB_2			
FCDJCBPM_00642	gene	405	flgC_2			
FCDJCBPM_00643	gene	666	flgD			
FCDJCBPM_00644	gene	1206	flgE_2			
FCDJCBPM_00645	gene	753	flgF_2			
FCDJCBPM_00646	gene	783	flgG_2			
FCDJCBPM_00647	gene	723	flgH_2			
FCDJCBPM_00648	gene	1131	flgI_2			
FCDJCBPM_00649	gene	969	flgJ_2			
FCDJCBPM_00650	gene	1641	flgK_2			
FCDJCBPM_00651	gene	960	flgL_2			
FCDJCBPM_00652	gene	783	fliR_2			
FCDJCBPM_00653	gene	270	fliQ_2			
FCDJCBPM_00654	gene	762	fliP_2			
FCDJCBPM_00655	gene	654				
FCDJCBPM_00656	gene	417	fliN			
FCDJCBPM_00657	gene	1002	fliM_2			
FCDJCBPM_00658	gene	480				
FCDJCBPM_00659	gene	1308				
FCDJCBPM_00660	gene	450	fliJ_2			
FCDJCBPM_00661	gene	99				
FCDJCBPM_00662	gene	1374	fliI_2			
FCDJCBPM_00663	gene	690	fliH_2			
FCDJCBPM_00664	gene	993	fliG_2			
FCDJCBPM_00665	gene	1728	fliF_2			
FCDJCBPM_00666	gene	315	fliE_2			
FCDJCBPM_00667	gene	156				
FCDJCBPM_00668	gene	375	fliT_2			
FCDJCBPM_00669	gene	405	fliS_2			
FCDJCBPM_00670	gene	1425	fliD_2			
FCDJCBPM_00671	gene	1521	fliC_3			
FCDJCBPM_00672	gene	726	fliA_2			
FCDJCBPM_00673	gene	225				
FCDJCBPM_00674	gene	1239				
FCDJCBPM_00675	gene	1041				
FCDJCBPM_00676	gene	1395				
FCDJCBPM_00677	gene	747	tcyB_1			
FCDJCBPM_00678	gene	675	yecS_2			
FCDJCBPM_00679	gene	876	mltF_1			
FCDJCBPM_00680	gene	759	glnQ_3			
FCDJCBPM_00681	gene	993	srkA_2			
FCDJCBPM_00682	gene	1353	argD_2			
FCDJCBPM_00683	gene	762	glpR_2			
FCDJCBPM_00684	gene	1515	argH_1			
FCDJCBPM_00685	gene	1323	proP_3			
FCDJCBPM_00686	gene	1164	gci_1			
FCDJCBPM_00687	gene	906	araD_1			
FCDJCBPM_00688	gene	678				
FCDJCBPM_00689	gene	1383	araE_1			
FCDJCBPM_00690	gene	984	lacC_1			
FCDJCBPM_00691	gene	1338	fucK_1			
FCDJCBPM_00692	gene	1398				
FCDJCBPM_00693	gene	852	lsrF_1			
FCDJCBPM_00694	gene	963				
FCDJCBPM_00695	gene	903	pgrR_1			
FCDJCBPM_00696	gene	1419				
FCDJCBPM_00697	gene	786	kipR			
FCDJCBPM_00698	gene	1710				
FCDJCBPM_00699	gene	1614	gsiB_1			
FCDJCBPM_00700	gene	1602	hbpA			
FCDJCBPM_00701	gene	873				
FCDJCBPM_00702	gene	1614	acyI			
FCDJCBPM_00703	gene	981	dppB_2			
FCDJCBPM_00704	gene	921	dppC_2			
FCDJCBPM_00705	gene	1884	gsiA_1			
FCDJCBPM_00706	gene	1578	gsiB_2			
FCDJCBPM_00707	gene	1878	cocE			
FCDJCBPM_00708	gene	1209				
FCDJCBPM_00709	gene	1872				
FCDJCBPM_00710	gene	759				
FCDJCBPM_00711	gene	447	ohrR_2			
FCDJCBPM_00712	gene	864				
FCDJCBPM_00713	gene	705				
FCDJCBPM_00714	gene	231				
FCDJCBPM_00715	gene	654				
FCDJCBPM_00716	gene	480				
FCDJCBPM_00717	gene	738	cpdA_1			
FCDJCBPM_00718	gene	696				
FCDJCBPM_00719	gene	1374	ulaA_1			
FCDJCBPM_00720	gene	273				
FCDJCBPM_00721	gene	453	ulaC_1			
FCDJCBPM_00722	gene	1998	tktA_1			
FCDJCBPM_00723	gene	834	mngR_1			
FCDJCBPM_00724	gene	735	dhmA			
FCDJCBPM_00725	gene	909				
FCDJCBPM_00726	gene	906	hdfR_1			
FCDJCBPM_00727	gene	1002				
FCDJCBPM_00728	gene	921	dmlR_2			
FCDJCBPM_00729	gene	633				
FCDJCBPM_00730	gene	219				
FCDJCBPM_00731	gene	804	srlR_2			
FCDJCBPM_00732	gene	1086	ugpC_2			
FCDJCBPM_00733	gene	1317	melA			
FCDJCBPM_00734	gene	858	ngcG			
FCDJCBPM_00735	gene	936	ycjO			
FCDJCBPM_00736	gene	1296				
FCDJCBPM_00737	gene	945	murK			
FCDJCBPM_00738	gene	1281	kbaZ_1			
FCDJCBPM_00739	gene	1176	agaS_2			
FCDJCBPM_00740	gene	306				
FCDJCBPM_00741	gene	76				
FCDJCBPM_00742	gene	114				
FCDJCBPM_00743	gene	2163	speC			
FCDJCBPM_00744	gene	1074	mltC			
FCDJCBPM_00745	gene	273	yggX			
FCDJCBPM_00746	gene	1092	mutY			
FCDJCBPM_00747	gene	720	trmB			
FCDJCBPM_00748	gene	714				
FCDJCBPM_00749	gene	1131	hemW			
FCDJCBPM_00750	gene	609	rdgB			
FCDJCBPM_00751	gene	297				
FCDJCBPM_00752	gene	540				
FCDJCBPM_00753	gene	822	proC			
FCDJCBPM_00754	gene	696	yggS			
FCDJCBPM_00755	gene	963	yggR			
FCDJCBPM_00756	gene	297				
FCDJCBPM_00757	gene	1035	rhaT_1			
FCDJCBPM_00758	gene	855	rhaR_1			
FCDJCBPM_00759	gene	837	rhaS_2			
FCDJCBPM_00760	gene	1473	rhaB			
FCDJCBPM_00761	gene	1257	rhaA			
FCDJCBPM_00762	gene	834	rhaD			
FCDJCBPM_00763	gene	315	rhaM_1			
FCDJCBPM_00764	gene	426	yqgF			
FCDJCBPM_00765	gene	564				
FCDJCBPM_00766	gene	957	gshB			
FCDJCBPM_00767	gene	732	rsmE			
FCDJCBPM_00768	gene	708	nucM			
FCDJCBPM_00769	gene	516	sprT			
FCDJCBPM_00770	gene	1398	galP			
FCDJCBPM_00771	gene	162				
FCDJCBPM_00772	gene	1155	metK_1			
FCDJCBPM_00773	gene	1899	speA			
FCDJCBPM_00774	gene	924	speB_2			
FCDJCBPM_00775	gene	1239				
FCDJCBPM_00776	gene	1164	pgk			
FCDJCBPM_00777	gene	1077	fbaA_2			
FCDJCBPM_00778	gene	969	mscS			
FCDJCBPM_00779	gene	642	argO			
FCDJCBPM_00780	gene	726				
FCDJCBPM_00781	gene	894	argP_1			
FCDJCBPM_00782	gene	657	rpiA			
FCDJCBPM_00783	gene	1233	serA			
FCDJCBPM_00784	gene	630	ygfA			
FCDJCBPM_00785	gene	300				
FCDJCBPM_00786	gene	330	zapA			
FCDJCBPM_00787	gene	588				
FCDJCBPM_00788	gene	1344	pepP			
FCDJCBPM_00789	gene	1179	ubiH			
FCDJCBPM_00790	gene	1218	ubiI			
FCDJCBPM_00791	gene	1101	gcvT			
FCDJCBPM_00792	gene	396	gcvH			
FCDJCBPM_00793	gene	2865	gcvP			
FCDJCBPM_00794	gene	609	yfbR_1			
FCDJCBPM_00795	gene	651				
FCDJCBPM_00796	gene	987	ygfZ			
FCDJCBPM_00797	gene	267	sdhE			
FCDJCBPM_00798	gene	330	ygfX			
FCDJCBPM_00799	gene	519	fldB			
FCDJCBPM_00800	gene	900	xerD			
FCDJCBPM_00801	gene	717	dsbC			
FCDJCBPM_00802	gene	1731	recJ			
FCDJCBPM_00803	gene	933	prfB			
FCDJCBPM_00804	gene	1521	lysS			
FCDJCBPM_00805	gene	1473	abgB_1			
FCDJCBPM_00806	gene	717	occQ_1			
FCDJCBPM_00807	gene	726	occM_1			
FCDJCBPM_00808	gene	858	occT_1			
FCDJCBPM_00809	gene	74				
FCDJCBPM_00810	gene	945				
FCDJCBPM_00811	gene	885				
FCDJCBPM_00812	gene	564	sigL			
FCDJCBPM_00813	gene	384				
FCDJCBPM_00814	gene	276	scrY			
FCDJCBPM_00815	gene	258	araC_1			
FCDJCBPM_00816	gene	873	rpiR			
FCDJCBPM_00817	gene	1485	xylB_1			
FCDJCBPM_00818	gene	1311	ttuB_1			
FCDJCBPM_00819	gene	543	rmpB			
FCDJCBPM_00820	gene	909				
FCDJCBPM_00821	gene	261				
FCDJCBPM_00822	gene	276				
FCDJCBPM_00823	gene	567				
FCDJCBPM_00824	gene	2130				
FCDJCBPM_00825	gene	1464	cmoM_1			
FCDJCBPM_00826	gene	1071				
FCDJCBPM_00827	gene	1086				
FCDJCBPM_00828	gene	630				
FCDJCBPM_00829	gene	1197				
FCDJCBPM_00830	gene	1302				
FCDJCBPM_00831	gene	969				
FCDJCBPM_00832	gene	516	mch			
FCDJCBPM_00833	gene	807	mcl2			
FCDJCBPM_00834	gene	1779	metG_1			
FCDJCBPM_00835	gene	753				
FCDJCBPM_00836	gene	324				
FCDJCBPM_00837	gene	843	exsA			
FCDJCBPM_00838	gene	453				
FCDJCBPM_00839	gene	666	lldR_1			
FCDJCBPM_00840	gene	735	carA_1			
FCDJCBPM_00841	gene	1047	potD			
FCDJCBPM_00842	gene	1131	doeA_1			
FCDJCBPM_00843	gene	1707				
FCDJCBPM_00844	gene	1044	btuD_1			
FCDJCBPM_00845	gene	939	araD_2			
FCDJCBPM_00846	gene	1119	ppsC_1			
FCDJCBPM_00847	gene	198				
FCDJCBPM_00848	gene	723				
FCDJCBPM_00849	gene	1158	ydhP			
FCDJCBPM_00850	gene	927	occR			
FCDJCBPM_00851	gene	1269	lysA			
FCDJCBPM_00852	gene	654	hxpA_1			
FCDJCBPM_00853	gene	876	hcaR			
FCDJCBPM_00854	gene	783	focB			
FCDJCBPM_00855	gene	1005	galR			
FCDJCBPM_00856	gene	2283	dorA			
FCDJCBPM_00857	gene	705				
FCDJCBPM_00858	gene	2157	aas			
FCDJCBPM_00859	gene	1218	lplT			
FCDJCBPM_00860	gene	1041	tas			
FCDJCBPM_00861	gene	219	ygdR_1			
FCDJCBPM_00862	gene	732				
FCDJCBPM_00863	gene	696	mutH			
FCDJCBPM_00864	gene	528	rppH_1			
FCDJCBPM_00865	gene	2247	ptsP			
FCDJCBPM_00866	gene	873	lgt			
FCDJCBPM_00867	gene	795	thyA			
FCDJCBPM_00868	gene	513				
FCDJCBPM_00869	gene	660				
FCDJCBPM_00870	gene	534				
FCDJCBPM_00871	gene	738				
FCDJCBPM_00872	gene	3405	recC			
FCDJCBPM_00873	gene	2922	ptrA			
FCDJCBPM_00874	gene	3561	recB			
FCDJCBPM_00875	gene	1878	recD			
FCDJCBPM_00876	gene	1344	argA			
FCDJCBPM_00877	gene	1260	amiC			
FCDJCBPM_00878	gene	849	occT_2			
FCDJCBPM_00879	gene	1686				
FCDJCBPM_00880	gene	1431	abgB_2			
FCDJCBPM_00881	gene	639	rspR_3			
FCDJCBPM_00882	gene	77				
FCDJCBPM_00883	gene	77				
FCDJCBPM_00884	gene	1362	mltA			
FCDJCBPM_00885	gene	825	tcdA			
FCDJCBPM_00886	gene	453	csdE			
FCDJCBPM_00887	gene	1206	csdA			
FCDJCBPM_00888	gene	222	ygdR_2			
FCDJCBPM_00889	gene	957	gcvA_1			
FCDJCBPM_00890	gene	396				
FCDJCBPM_00891	gene	1101	rlmM			
FCDJCBPM_00892	gene	1893	nagZ_1			
FCDJCBPM_00893	gene	795				
FCDJCBPM_00894	gene	753	ygdG			
FCDJCBPM_00895	gene	1365	ppnN			
FCDJCBPM_00896	gene	846	queF			
FCDJCBPM_00897	gene	564	syd			
FCDJCBPM_00898	gene	321	yqcC			
FCDJCBPM_00899	gene	786	truC			
FCDJCBPM_00900	gene	447				
FCDJCBPM_00901	gene	390				
FCDJCBPM_00902	gene	825	dapD			
FCDJCBPM_00903	gene	2763	glnD			
FCDJCBPM_00904	gene	795	map			
FCDJCBPM_00905	gene	726	rpsB			
FCDJCBPM_00906	gene	858	tsf			
FCDJCBPM_00907	gene	726	pyrH			
FCDJCBPM_00908	gene	627	frr			
FCDJCBPM_00909	gene	1197	dxr			
FCDJCBPM_00910	gene	762	ispU			
FCDJCBPM_00911	gene	858	cdsA			
FCDJCBPM_00912	gene	1356	rseP			
FCDJCBPM_00913	gene	2427	bamA			
FCDJCBPM_00914	gene	498	skp			
FCDJCBPM_00915	gene	1023	lpxD			
FCDJCBPM_00916	gene	456	fabZ			
FCDJCBPM_00917	gene	789	lpxA			
FCDJCBPM_00918	gene	1149	lpxB			
FCDJCBPM_00919	gene	597	rnhB			
FCDJCBPM_00920	gene	3483	dnaE			
FCDJCBPM_00921	gene	960	accA			
FCDJCBPM_00922	gene	2133	ldcC			
FCDJCBPM_00923	gene	390				
FCDJCBPM_00924	gene	1584	tilS			
FCDJCBPM_00925	gene	261	rof			
FCDJCBPM_00926	gene	537	yaeQ			
FCDJCBPM_00927	gene	417	nlpE			
FCDJCBPM_00928	gene	5607				
FCDJCBPM_00929	gene	1725	proS			
FCDJCBPM_00930	gene	783	trmO			
FCDJCBPM_00931	gene	414	rcsF			
FCDJCBPM_00932	gene	816	metQ_1			
FCDJCBPM_00933	gene	654	metI			
FCDJCBPM_00934	gene	1095	metN_1			
FCDJCBPM_00935	gene	573	gmhB			
FCDJCBPM_00936	gene	1532				
FCDJCBPM_00937	gene	76				
FCDJCBPM_00938	gene	2900				
FCDJCBPM_00939	gene	111				
FCDJCBPM_00940	gene	837	ybbH			
FCDJCBPM_00941	gene	1557	ptsG_1			
FCDJCBPM_00942	gene	723	nanE			
FCDJCBPM_00943	gene	411				
FCDJCBPM_00944	gene	1356	pssA			
FCDJCBPM_00945	gene	2724	pat			
FCDJCBPM_00946	gene	780				
FCDJCBPM_00947	gene	441	trxC			
FCDJCBPM_00948	gene	1134	yfiF			
FCDJCBPM_00949	gene	522	mprA			
FCDJCBPM_00950	gene	339				
FCDJCBPM_00951	gene	738	ygaZ			
FCDJCBPM_00952	gene	1200				
FCDJCBPM_00953	gene	999	ousX_1			
FCDJCBPM_00954	gene	987	ousX_2			
FCDJCBPM_00955	gene	1266	ousW			
FCDJCBPM_00956	gene	1257	proV			
FCDJCBPM_00957	gene	972	nrdF			
FCDJCBPM_00958	gene	2151	nrdE			
FCDJCBPM_00959	gene	408	nrdI			
FCDJCBPM_00960	gene	240	nrdH			
FCDJCBPM_00961	gene	336	ygaM			
FCDJCBPM_00962	gene	336				
FCDJCBPM_00963	gene	897	mltF_2			
FCDJCBPM_00964	gene	1683	kstD			
FCDJCBPM_00965	gene	771	fabG_1			
FCDJCBPM_00966	gene	780	glnQ_4			
FCDJCBPM_00967	gene	909				
FCDJCBPM_00968	gene	1065	fgd_1			
FCDJCBPM_00969	gene	1164				
FCDJCBPM_00970	gene	987	yajO_1			
FCDJCBPM_00971	gene	1398				
FCDJCBPM_00972	gene	963	yeaX			
FCDJCBPM_00973	gene	648	betI_1			
FCDJCBPM_00974	gene	1008	metXA			
FCDJCBPM_00975	gene	426				
FCDJCBPM_00976	gene	477				
FCDJCBPM_00977	gene	813	sdhL			
FCDJCBPM_00978	gene	2295	glgX_2			
FCDJCBPM_00979	gene	1161	metE_2			
FCDJCBPM_00980	gene	207	tsx			
FCDJCBPM_00981	gene	564	speG			
FCDJCBPM_00982	gene	330				
FCDJCBPM_00983	gene	948	dmlR_3			
FCDJCBPM_00984	gene	900				
FCDJCBPM_00985	gene	513	paiA			
FCDJCBPM_00986	gene	714	comR_3			
FCDJCBPM_00987	gene	1008				
FCDJCBPM_00988	gene	1014	ycjG_1			
FCDJCBPM_00989	gene	1059				
FCDJCBPM_00990	gene	822	dppA_2			
FCDJCBPM_00991	gene	864	cho			
FCDJCBPM_00992	gene	510	yciE			
FCDJCBPM_00993	gene	498	yciF			
FCDJCBPM_00994	gene	450				
FCDJCBPM_00995	gene	522				
FCDJCBPM_00996	gene	324				
FCDJCBPM_00997	gene	1653	dhaK_2			
FCDJCBPM_00998	gene	1287	yteT			
FCDJCBPM_00999	gene	1590				
FCDJCBPM_01000	gene	456				
FCDJCBPM_01001	gene	762	kduD_1			
FCDJCBPM_01002	gene	639				
FCDJCBPM_01003	gene	186				
FCDJCBPM_01004	gene	1701	treA_1			
FCDJCBPM_01005	gene	1530	menH_1			
FCDJCBPM_01006	gene	432	uspG			
FCDJCBPM_01007	gene	2706	ctpF			
FCDJCBPM_01008	gene	1542	oprM_1			
FCDJCBPM_01009	gene	1143	emrA_1			
FCDJCBPM_01010	gene	1695	emrY			
FCDJCBPM_01011	gene	444	slyA_2			
FCDJCBPM_01012	gene	2163				
FCDJCBPM_01013	gene	1590	clsC			
FCDJCBPM_01014	gene	2400	xpkA			
FCDJCBPM_01015	gene	2406	kdpB_1			
FCDJCBPM_01016	gene	480	zntR			
FCDJCBPM_01017	gene	861	ydaD_1			
FCDJCBPM_01018	gene	1221	yjhB			
FCDJCBPM_01019	gene	1338				
FCDJCBPM_01020	gene	513	ygjP			
FCDJCBPM_01021	gene	363	yibL			
FCDJCBPM_01022	gene	951	nodD2_1			
FCDJCBPM_01023	gene	648	pcp			
FCDJCBPM_01024	gene	993				
FCDJCBPM_01025	gene	558				
FCDJCBPM_01026	gene	1179	ybjJ_1			
FCDJCBPM_01027	gene	552	rcdA			
FCDJCBPM_01028	gene	537				
FCDJCBPM_01029	gene	366				
FCDJCBPM_01030	gene	420	umuD_1			
FCDJCBPM_01031	gene	1269	umuC			
FCDJCBPM_01032	gene	654				
FCDJCBPM_01033	gene	1320	puuP			
FCDJCBPM_01034	gene	1017	kdgR_1			
FCDJCBPM_01035	gene	1119	gci_2			
FCDJCBPM_01036	gene	1215	dgoT_2			
FCDJCBPM_01037	gene	1329	clcA_1			
FCDJCBPM_01038	gene	1092	btuF_1			
FCDJCBPM_01039	gene	1140	arnB_2			
FCDJCBPM_01040	gene	981	arnC_1			
FCDJCBPM_01041	gene	1983	arnA			
FCDJCBPM_01042	gene	894	arnD			
FCDJCBPM_01043	gene	1653	arnT_1			
FCDJCBPM_01044	gene	336	arnE			
FCDJCBPM_01045	gene	396	arnF			
FCDJCBPM_01046	gene	612	ybjG			
FCDJCBPM_01047	gene	1470	dauA_1			
FCDJCBPM_01048	gene	645	gph_2			
FCDJCBPM_01049	gene	2115	fhuA			
FCDJCBPM_01050	gene	780	pheC			
FCDJCBPM_01051	gene	1188	uxuA_1			
FCDJCBPM_01052	gene	1473	por_2			
FCDJCBPM_01053	gene	804	lldR_2			
FCDJCBPM_01054	gene	1404				
FCDJCBPM_01055	gene	381				
FCDJCBPM_01056	gene	393				
FCDJCBPM_01057	gene	396				
FCDJCBPM_01058	gene	201				
FCDJCBPM_01059	gene	894	rhaS_3			
FCDJCBPM_01060	gene	642				
FCDJCBPM_01061	gene	189				
FCDJCBPM_01062	gene	960				
FCDJCBPM_01063	gene	1824				
FCDJCBPM_01064	gene	339	ypjF			
FCDJCBPM_01065	gene	366	cbeA			
FCDJCBPM_01066	gene	222				
FCDJCBPM_01067	gene	480				
FCDJCBPM_01068	gene	444	klcA			
FCDJCBPM_01069	gene	840				
FCDJCBPM_01070	gene	945				
FCDJCBPM_01071	gene	411				
FCDJCBPM_01072	gene	216				
FCDJCBPM_01073	gene	147				
FCDJCBPM_01074	gene	714				
FCDJCBPM_01075	gene	876	era_1			
FCDJCBPM_01076	gene	4026				
FCDJCBPM_01077	gene	408				
FCDJCBPM_01078	gene	903	moaA_2			
FCDJCBPM_01079	gene	1737	recF_2			
FCDJCBPM_01080	gene	1419	addA			
FCDJCBPM_01081	gene	1065				
FCDJCBPM_01082	gene	3852				
FCDJCBPM_01083	gene	801				
FCDJCBPM_01084	gene	678				
FCDJCBPM_01085	gene	573				
FCDJCBPM_01086	gene	759				
FCDJCBPM_01087	gene	213				
FCDJCBPM_01088	gene	753				
FCDJCBPM_01089	gene	1233	intA_1			
FCDJCBPM_01090	gene	383	ssrA			
FCDJCBPM_01091	gene	483	smpB			
FCDJCBPM_01092	gene	435	ratA			
FCDJCBPM_01093	gene	285				
FCDJCBPM_01094	gene	354	bamE			
FCDJCBPM_01095	gene	1662	recN			
FCDJCBPM_01096	gene	927	nadK			
FCDJCBPM_01097	gene	591	grpE			
FCDJCBPM_01098	gene	684	ung			
FCDJCBPM_01099	gene	384	grcA			
FCDJCBPM_01100	gene	1344	srmB			
FCDJCBPM_01101	gene	744	yfiC			
FCDJCBPM_01102	gene	138				
FCDJCBPM_01103	gene	606	gbpA_1			
FCDJCBPM_01104	gene	147				
FCDJCBPM_01105	gene	1602	nadB			
FCDJCBPM_01106	gene	576	rpoE			
FCDJCBPM_01107	gene	696	rseA			
FCDJCBPM_01108	gene	957	rseB			
FCDJCBPM_01109	gene	459	rseC			
FCDJCBPM_01110	gene	1800	lepA			
FCDJCBPM_01111	gene	987	lepB			
FCDJCBPM_01112	gene	681	rnc			
FCDJCBPM_01113	gene	906	era_2			
FCDJCBPM_01114	gene	780	recO			
FCDJCBPM_01115	gene	732	pdxJ			
FCDJCBPM_01116	gene	381	acpS			
FCDJCBPM_01117	gene	261	yfhL			
FCDJCBPM_01118	gene	714				
FCDJCBPM_01119	gene	1275				
FCDJCBPM_01120	gene	849	murR_1			
FCDJCBPM_01121	gene	903	murQ			
FCDJCBPM_01122	gene	1377				
FCDJCBPM_01123	gene	639	pgpC			
FCDJCBPM_01124	gene	516	tadA			
FCDJCBPM_01125	gene	1488	mltF_3			
FCDJCBPM_01126	gene	3888	purL			
FCDJCBPM_01127	gene	1428	glrK			
FCDJCBPM_01128	gene	1065				
FCDJCBPM_01129	gene	1338	qseF			
FCDJCBPM_01130	gene	339	glnB			
FCDJCBPM_01131	gene	1254	glyA			
FCDJCBPM_01132	gene	1254				
FCDJCBPM_01133	gene	1140				
FCDJCBPM_01134	gene	765	idnO_1			
FCDJCBPM_01135	gene	804	suhB			
FCDJCBPM_01136	gene	768	trmJ			
FCDJCBPM_01137	gene	540	iscR			
FCDJCBPM_01138	gene	1197	iscS			
FCDJCBPM_01139	gene	342				
FCDJCBPM_01140	gene	1299	pepB			
FCDJCBPM_01141	gene	795				
FCDJCBPM_01142	gene	849	sseA			
FCDJCBPM_01143	gene	432	ndk			
FCDJCBPM_01144	gene	1185	rlmN			
FCDJCBPM_01145	gene	837	bepA_1			
FCDJCBPM_01146	gene	969	rodZ			
FCDJCBPM_01147	gene	1122	ispG			
FCDJCBPM_01148	gene	1275	hisS			
FCDJCBPM_01149	gene	624				
FCDJCBPM_01150	gene	1182	bamB			
FCDJCBPM_01151	gene	1479	der			
FCDJCBPM_01152	gene	219	yfgJ			
FCDJCBPM_01153	gene	369				
FCDJCBPM_01154	gene	1038	prtS			
FCDJCBPM_01155	gene	873	yihU			
FCDJCBPM_01156	gene	450				
FCDJCBPM_01157	gene	456				
FCDJCBPM_01158	gene	1275	lacY_1			
FCDJCBPM_01159	gene	3123	lacZ			
FCDJCBPM_01160	gene	1119	lacI			
FCDJCBPM_01161	gene	942				
FCDJCBPM_01162	gene	1620	mqo			
FCDJCBPM_01163	gene	492				
FCDJCBPM_01164	gene	1239	sbnD_2			
FCDJCBPM_01165	gene	1377	xseA			
FCDJCBPM_01166	gene	1464	guaB			
FCDJCBPM_01167	gene	1578	guaA			
FCDJCBPM_01168	gene	345	intA_2			
FCDJCBPM_01169	gene	336				
FCDJCBPM_01170	gene	894	arnC_2			
FCDJCBPM_01171	gene	1263				
FCDJCBPM_01172	gene	444				
FCDJCBPM_01173	gene	351	yybR			
FCDJCBPM_01174	gene	1029				
FCDJCBPM_01175	gene	642	comR_4			
FCDJCBPM_01176	gene	759	bdcA			
FCDJCBPM_01177	gene	366				
FCDJCBPM_01178	gene	456	gatA			
FCDJCBPM_01179	gene	1380	gatC_1			
FCDJCBPM_01180	gene	276				
FCDJCBPM_01181	gene	753				
FCDJCBPM_01182	gene	432	rutC_1			
FCDJCBPM_01183	gene	1200	hipO_1			
FCDJCBPM_01184	gene	1413				
FCDJCBPM_01185	gene	1134	dthadh			
FCDJCBPM_01186	gene	933	dmlR_4			
FCDJCBPM_01187	gene	1056				
FCDJCBPM_01188	gene	225	yeeD			
FCDJCBPM_01189	gene	486				
FCDJCBPM_01190	gene	726	esaR_1			
FCDJCBPM_01191	gene	789	thiM			
FCDJCBPM_01192	gene	804	thiD			
FCDJCBPM_01193	gene	933				
FCDJCBPM_01194	gene	912	yegS			
FCDJCBPM_01195	gene	1377	rlhA			
FCDJCBPM_01196	gene	339				
FCDJCBPM_01197	gene	708	baeR			
FCDJCBPM_01198	gene	1389	baeS			
FCDJCBPM_01199	gene	1455	mdtD			
FCDJCBPM_01200	gene	150				
FCDJCBPM_01201	gene	954	yajO_2			
FCDJCBPM_01202	gene	180				
FCDJCBPM_01203	gene	858	ureD			
FCDJCBPM_01204	gene	303	ureA			
FCDJCBPM_01205	gene	318	ureB1			
FCDJCBPM_01206	gene	1704	ureC			
FCDJCBPM_01207	gene	477	ureE			
FCDJCBPM_01208	gene	720	ureF			
FCDJCBPM_01209	gene	618	ureG			
FCDJCBPM_01210	gene	1359	dnaK_1			
FCDJCBPM_01211	gene	747	ygfF			
FCDJCBPM_01212	gene	1437	mgtE			
FCDJCBPM_01213	gene	195	yfgG			
FCDJCBPM_01214	gene	1551	ppx			
FCDJCBPM_01215	gene	2070	ppk_1			
FCDJCBPM_01216	gene	2823				
FCDJCBPM_01217	gene	1596				
FCDJCBPM_01218	gene	816	pstB3			
FCDJCBPM_01219	gene	306				
FCDJCBPM_01220	gene	639	purN			
FCDJCBPM_01221	gene	1038	purM			
FCDJCBPM_01222	gene	627	upp			
FCDJCBPM_01223	gene	1284	uraA			
FCDJCBPM_01224	gene	594	hda			
FCDJCBPM_01225	gene	1515	bepA_2			
FCDJCBPM_01226	gene	468	bcp			
FCDJCBPM_01227	gene	576	gcvR			
FCDJCBPM_01228	gene	879	dapA_2			
FCDJCBPM_01229	gene	1050	bamC			
FCDJCBPM_01230	gene	714	purC			
FCDJCBPM_01231	gene	861				
FCDJCBPM_01232	gene	453				
FCDJCBPM_01233	gene	2211	tmcA			
FCDJCBPM_01234	gene	186				
FCDJCBPM_01235	gene	675				
FCDJCBPM_01236	gene	1128	dapE_1			
FCDJCBPM_01237	gene	450	spxA			
FCDJCBPM_01238	gene	3165	acrB_1			
FCDJCBPM_01239	gene	585	nudK			
FCDJCBPM_01240	gene	1590				
FCDJCBPM_01241	gene	5802				
FCDJCBPM_01242	gene	144				
FCDJCBPM_01243	gene	1677				
FCDJCBPM_01244	gene	1995	tktA_2			
FCDJCBPM_01245	gene	951	talB_1			
FCDJCBPM_01246	gene	444				
FCDJCBPM_01247	gene	915	hemF			
FCDJCBPM_01248	gene	426	ypeA			
FCDJCBPM_01249	gene	219	ygiW			
FCDJCBPM_01250	gene	591	yfeY			
FCDJCBPM_01251	gene	1023	cysP			
FCDJCBPM_01252	gene	834	cysT			
FCDJCBPM_01253	gene	870	cysW			
FCDJCBPM_01254	gene	1092	cysA_1			
FCDJCBPM_01255	gene	1071	nemA			
FCDJCBPM_01256	gene	936	cysM_2			
FCDJCBPM_01257	gene	681	cpxR_1			
